"";"C√≥digo.do.Produto";"Descri√.√.o.do.Produto...Servi√.o";"NCM.SH";"O.CST";"CFOP";"Unid..de.Medida";"Qtde.";"Valor.Unit√.rio..R..";"Valor.Total..R..";"nf_c4ai_id"
"1";"11";"Goiaba Vermelha";"8045010";" ";"5102";"KG";"615";"4,37";"2.688,86";"f3defaedb51531f9df533e6fa10da174344bfdf059c8e4b4fa624639f394a678"
"2";"11";"Goiaba Processada";"8045010";" ";"5102";"KG";"802";"2,56";"2.053,89";"f3defaedb51531f9df533e6fa10da174344bfdf059c8e4b4fa624639f394a678"
"3";"35";"Abacate";"8044000";" ";"5102";"KG";"625";"2,94";"1.838,68";"f3defaedb51531f9df533e6fa10da174344bfdf059c8e4b4fa624639f394a678"
"4";"31";"Limao";"8055000";" ";"5102";"KG";"150";"3,12";"468,31";"f3defaedb51531f9df533e6fa10da174344bfdf059c8e4b4fa624639f394a678"
"5";"20";"Abobrinha";"7099300";" ";"5102";"KG";"258";"2,11";"545,01";"f3defaedb51531f9df533e6fa10da174344bfdf059c8e4b4fa624639f394a678"
"6";"159";"COXA/SOBRECOXA SEM OSSO SEM PELE";"2071400";" ";"5102";"KG";"1416";"11,41";"16.156,56";"175efa38f7c5b9c484daff51932f732f2762e1dbd69480b140e71731e03b8677"
"7";"159";"COXA/SOBRECOXA SEM OSSO SEM PELE";"2071400";" ";"5102";"KG";"488";"11,41";"5.568,08";"7d3dc389a58a187790951ba77733ea21796e9fa2f87b838c7b99d05d98c80142"
"8";"26";"CEBOLA";"7122000";" ";"5102";"KG";"222";"2,72";"603,84";"ae84191494aa4b40d7bf050d9845098478d12d98198cf600d25081a7ac7b503c"
"9";"29";"BANANA NANICA";"8031000";" ";"5102";"KG";"2571";"2,44";"6.274,46";"ae84191494aa4b40d7bf050d9845098478d12d98198cf600d25081a7ac7b503c"
"10";"25";"BATATA";"7101000";" ";"5102";"KG";"500";"2,53";"1.265,00";"ae84191494aa4b40d7bf050d9845098478d12d98198cf600d25081a7ac7b503c"
"11";"159";"COXA/SOBRECOXA SEM OSSO SEM PELE";"2071400";" ";"5102";"KG";"246";"11,41";"2.806,86";"8f1601dbece2bc47f5a6587b046ff21180a6777bbaa3ec99b32e757dd0008760"
"12";"12";"Cenoura";"7061000";" ";"5102";"KG";"315";"1,94";"611,10";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"13";"07";"Beterraba";"7069000";" ";"5102";"KG";"50";"1,64";"82,49";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"14";"26";"Batata doce";"7019000";" ";"5102";"KG";"80";"2,01";"161,60";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"15";"05";"Beringela";"7093000";" ";"5102";"KG";"663";"2,32";"1.539,55";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"16";"03";"Repolho";"7049000";" ";"5102";"KG";"337";"1,11";"374,18";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"17";"24";"Tomate";"7020000";" ";"5102";"KG";"208";"2,99";"623,71";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"18";"23";"Pepino";"7070000";" ";"5102";"KG";"217";"1,99";"433,02";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"19";"09";"Abobora";"7099300";" ";"5102";"KG";"468";"1,78";"833,93";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"20";"21";"Maracuja";"8109015";" ";"5102";"KG";"2247";"4,30";"9.662,10";"60c46e02b0a97350336701936f07711f23614d5c88f57c4495ddaa8928f2f2ee"
"21";"191";"FRANGO-FILEZINHO-SASSAMI";"2071400";" ";"5102";"KG";"872";"11,40";"9.940,80";"0820e5ad97bc0822524c238056d790fff26060a2b07fa681bec70f6e8519b3e6"
"22";"29";"BANANA NANICA";"8031000";" ";"5102";"KG";"2643";"2,44";"6.450,38";"ae6287feb2fd450aade17d2703efcb34ab1f5415ad0e6722c447291ff2d7ed53"
"23";"25";"BATATA";"7101000";" ";"5102";"KG";"900";"2,53";"2.278,77";"ae6287feb2fd450aade17d2703efcb34ab1f5415ad0e6722c447291ff2d7ed53"
"24";"26";"CEBOLA";"7122000";" ";"5102";"KG";"278";"2,72";"757,52";"ae6287feb2fd450aade17d2703efcb34ab1f5415ad0e6722c447291ff2d7ed53"
"25";"12";"Cenoura";"7061000";" ";"5102";"KG";"625";"2,37";"1.481,25";"8ace5432a748b638d9ce5df3c043eab34c036038d3eb6181c06ef501408a5279"
"26";"20";"Abobrinha";"7099300";" ";"5102";"KG";"345";"2,37";"818,84";"8ace5432a748b638d9ce5df3c043eab34c036038d3eb6181c06ef501408a5279"
"27";"39";"Pessego";"8093010";" ";"5102";"KG";"29";"6,51";"190,74";"8ace5432a748b638d9ce5df3c043eab34c036038d3eb6181c06ef501408a5279"
"28";"26";"Batata";"7019000";" ";"5102";"KG";"690";"2,53";"1.746,21";"8ace5432a748b638d9ce5df3c043eab34c036038d3eb6181c06ef501408a5279"
"29";"02";"Alface";"7051100";" ";"5102";"KG";"379";"2,92";"1.108,14";"8ace5432a748b638d9ce5df3c043eab34c036038d3eb6181c06ef501408a5279"
"30";"03";"Repolho";"7049000";" ";"5102";"KG";"224";"1,43";"320,32";"8ace5432a748b638d9ce5df3c043eab34c036038d3eb6181c06ef501408a5279"
"31";"11";"Goiaba proces.";"8045010";" ";"5102";"KG";"300";"2,79";"837,00";"8ace5432a748b638d9ce5df3c043eab34c036038d3eb6181c06ef501408a5279"
"32";"160";"FRANGO-COXA/SOBRECOXA SEM OSSO SEM PELE";"2071400";" ";"5102";"KG";"1120";"11,41";"12.779,20";"5135b56d91d7bb2f7a39c448d9f681a167dbe8c83c1ddccf931adeae9f7dbf52"
"33";"33";"Manga";"8045020";" ";"5102";"KG";"2000";"3,45";"6.900,00";"dd20136b16be79b73ca70b20f4b13e84d173e94805d5e0483406e3326f5428ec"
"34";"11";"Goiaba Processada";"8045010";" ";"5102";"KG";"614";"2,56";"1.573,63";"dd20136b16be79b73ca70b20f4b13e84d173e94805d5e0483406e3326f5428ec"
"35";"35";"Abacate";"8044000";" ";"5102";"KG";"587";"2,94";"1.726,66";"dd20136b16be79b73ca70b20f4b13e84d173e94805d5e0483406e3326f5428ec"
"36";"02";"Alface";"7051100";" ";"5102";"KG";"107";"2,43";"261,47";"dd20136b16be79b73ca70b20f4b13e84d173e94805d5e0483406e3326f5428ec"
"37";"31";"Limao";"8055000";" ";"5102";"KG";"308";"3,12";"963,46";"dd20136b16be79b73ca70b20f4b13e84d173e94805d5e0483406e3326f5428ec"
"38";"21";"Maracuja";"8109015";" ";"5102";"KG";"168";"4,30";"724,98";"dd20136b16be79b73ca70b20f4b13e84d173e94805d5e0483406e3326f5428ec"
"39";"20";"Abobrinha";"7099300";" ";"5102";"KG";"309";"2,11";"653,05";"dd20136b16be79b73ca70b20f4b13e84d173e94805d5e0483406e3326f5428ec"
"40";"05";"Beringela";"7093000";" ";"5102";"KG";"208";"2,32";"483,95";"dd20136b16be79b73ca70b20f4b13e84d173e94805d5e0483406e3326f5428ec"
"41";"09";"Abobora";"7099300";" ";"5102";"KG";"400";"1,78";"712,89";"dd20136b16be79b73ca70b20f4b13e84d173e94805d5e0483406e3326f5428ec"
"42";"12225";"BOLINHO SIMPLES INDIVIDUAL";"19059090";" ";"5405";"KG";"924";"17,56";"16.239,49";"9795f754011a89cb6efe7c5c0d466c892e62e157aa7466ec9aded156da9447ab"
"43";"12180";"PAO ITPO BISNAGUINHA INTEGRAL 20G";"19059090";" ";"5405";"UN";"7950";"0,25";"1.987,50";"9795f754011a89cb6efe7c5c0d466c892e62e157aa7466ec9aded156da9447ab"
"44";"12182";"PAO TIPO HOT DOG INTEGRAL 50G";"19059090";" ";"5405";"UN";"2020";"0,56";"1.131,20";"9795f754011a89cb6efe7c5c0d466c892e62e157aa7466ec9aded156da9447ab"
"45";"97";"Alho";"7129010";" ";"5102";"kg";"230";"16,30";"3.749,00";"a670b75fae2570b61a06d5f1fdbc85a1d53e91d1a4d6cc9c303b3c4ec37956c7"
"46";"01";"Acelga";"7049000";" ";"5102";"KG";"440";"1,46";"642,40";"b2c9e53cb618353a1b13e2e32903c52944936eb19d86520c695155fb0fa82452"
"47";"25";"Abacaxi Perola";"8043000";" ";"5102";"KG";"2570";"3,24";"8.327,77";"b2c9e53cb618353a1b13e2e32903c52944936eb19d86520c695155fb0fa82452"
"48";"16";"Brocolis";"7041000";" ";"5102";"KG";"1112";"4,51";"5.017,38";"b2c9e53cb618353a1b13e2e32903c52944936eb19d86520c695155fb0fa82452"
"49";"14";"Couve Flor";"7049000";" ";"5102";"KG";"284";"4,33";"1.231,02";"b2c9e53cb618353a1b13e2e32903c52944936eb19d86520c695155fb0fa82452"
"50";"05";"Beringela";"7093000";" ";"5102";"KG";"289";"2,54";"735,58";"b2c9e53cb618353a1b13e2e32903c52944936eb19d86520c695155fb0fa82452"
"51";"24";"Tomate";"7020000";" ";"5102";"KG";"665";"3,72";"2.474,54";"b2c9e53cb618353a1b13e2e32903c52944936eb19d86520c695155fb0fa82452"
"52";"08";"Laranja";"8051000";" ";"5102";"KG";"1169";"1,98";"2.315,02";"b2c9e53cb618353a1b13e2e32903c52944936eb19d86520c695155fb0fa82452"
"53";"10";"Banana Nanica";"8039000";" ";"5102";"KG";"1485";"2,44";"3.623,40";"b2c9e53cb618353a1b13e2e32903c52944936eb19d86520c695155fb0fa82452"
"54";"14";"Couve";"7049000";" ";"5102";"KG";"81";"5,11";"415,44";"b2c9e53cb618353a1b13e2e32903c52944936eb19d86520c695155fb0fa82452"
"55";"197";"COXA/SOBRECOXA SEM OSSO SEM PELE";"2071400";" ";"5102";"KG";"600";"11,41";"6.846,00";"2582e11e4851419ca9a0d93c19ea6ceb347fa074a4d0176cc4b3f6275506ca3c"
"56";"3187";"FARINHA DE MILHO";"11041900";" ";"5102";"KLG";"150";"2,40";"360,00";"fc4d58c5267f2ae12dc5f0bfd8ed0b3ef887c45988177d60e177f08ae64f4d67"
"57";"3077";"SAL IODADO";"25010020";" ";"5102";"KLG";"190";"0,85";"161,50";"fc4d58c5267f2ae12dc5f0bfd8ed0b3ef887c45988177d60e177f08ae64f4d67"
"58";"3271";"VINAGRE DE MACA 750ML";"22090000";" ";"5102";"FRC";"156";"2,82";"439,92";"fc4d58c5267f2ae12dc5f0bfd8ed0b3ef887c45988177d60e177f08ae64f4d67"
"59";"97";"Alho";"7129010";" ";"5102";"kg";"200";"16,30";"3.260,00";"a3415e5f31572462b07a6b00309fc26b12c7f046a37578d5ba0c74413c78b3fb"
"60";"5601";"FUBA";"11022000";" ";"5102";"KLG";"300";"1,25";"375,00";"dfaab951664a4d51bafca170fe427a5df347e0bbf4f8233d4dd6b1c2a63b7bd0"
"61";"6631";"MILHO VERDE EM CONSERVA";"20058000";" ";"5405";"KLG";"48";"5,87";"281,76";"dfaab951664a4d51bafca170fe427a5df347e0bbf4f8233d4dd6b1c2a63b7bd0"
"62";"3271";"VINAGRE DE MACA 750ML";"22090000";" ";"5102";"FRC";"40";"2,82";"112,80";"dfaab951664a4d51bafca170fe427a5df347e0bbf4f8233d4dd6b1c2a63b7bd0"
"63";"158";"COXA/SOBRECOXA SEM OSSO SEM PELE";"2071400";" ";"5102";"KG";"771";"9,20";"7.093,20";"5af6e6a9e16746465381c642fa10fecfcbddeddcfa2e77ae6af49d9d73ea350d"
"64";"140";"FRANGO-FILEZINHO-SASSAMI";"2071400";" ";"5102";"KG";"490";"10,50";"5.145,00";"04d7983c1be9ff5f754510da25b5a058a6eaa03df2fb3c1db7da9f76457c3b8a"
"65";"363";"PATINHO CUBOS DE 2 KG (1)";"2013000";" ";"5102";"KG";"642";"15,94";"10.233,48";"402db242fdd25a7b3ce2db51525e1b6780d72b07b88373e0acdcf0d38042ac4f"
"66";"533";"PATINHO EM TIRAS PT 2KG (1)";"2023000";" ";"5102";"KG";"736";"15,94";"11.731,84";"402db242fdd25a7b3ce2db51525e1b6780d72b07b88373e0acdcf0d38042ac4f"
"67";"20003";"SEMOLA C/OVOS TIPO ANEL MEDIO PCT 500G";"19021100";" ";"5101";"PCT";"20";"1,25";"25,10";"32bc155f7a4673363306c203bb2fabc5908eb9f4cdd2008a2293cf02f5c611fd"
"68";"20009";"SEMOLA C/OVOS TIPO ESPIRAL PCT 500G";"19021100";" ";"5101";"PCT";"1000";"1,25";"1.255,00";"32bc155f7a4673363306c203bb2fabc5908eb9f4cdd2008a2293cf02f5c611fd"
"69";"20015";"SEMOLA C/OVOS TIPO PENA PCT 500G";"19021100";" ";"5101";"PCT";"1000";"1,25";"1.255,00";"32bc155f7a4673363306c203bb2fabc5908eb9f4cdd2008a2293cf02f5c611fd"
"70";"11742";"PAO DE FORMA FATIADO";"19059090";" ";"5405";"KG";"255";"6,97";"1.777,35";"fdf38e4423d1f4b1837b765169eb73e90080a74e658d5730b427404b3044ec86"
"71";"11741";"PAO DE FORMA INTEGRAL FATIADO";"19059090";" ";"5405";"KG";"505";"12,84";"6.484,20";"fdf38e4423d1f4b1837b765169eb73e90080a74e658d5730b427404b3044ec86"
"72";"6632";"ERVILHA EM CONSERVA";"20054000";" ";"5405";"KLG";"76";"5,69";"436,99";"c98bf7c534b55eda4df0269d903a84637c737e156aaf74a6dfc302f587bd4151"
"73";"6631";"MILHO VERDE EM CONSERVA";"20058000";" ";"5405";"KLG";"96";"5,87";"563,52";"c98bf7c534b55eda4df0269d903a84637c737e156aaf74a6dfc302f587bd4151"
"74";"5901";"LEITE LONGA VIDA INTEGRAL";"4012010";" ";"5405";"LTR";"12960";"2,66";"34.473,60";"41f480b5edd7e6885444692a49ebe66fece1dc58171060b79a6a0fbf678bacd4"
"75";"3860";"PAO TIPO HOT DOG 50G";"19059090";" ";"5405";"UN";"8040";"0,47";"3.778,80";"4cdbe2f1a1ef20454f01734dd79d30ae82064de3153425105d838fb714c2f1e4"
"76";"5901";"LEITE LONGA VIDA INTEGRAL 01LT";"4012010";" ";"5405";"LTR";"2580";"2,66";"6.862,80";"a3f81d726fb7c6c0c783ab8e91427421846575b18e6ba96ff275cdb8d1ee18df"
"77";"11742";"PAO DE FORMA FATIADO";"19059090";" ";"5405";"KG";"795";"6,97";"5.541,15";"fc0161a4a35a64336fe42ae30d24e9a386352a33229dc63531abc251a4f2b50f"
"78";"5901";"LEITE LONGA VIDA INTEGRAL 01LT";"4012010";" ";"5405";"LTR";"2572";"2,66";"6.841,52";"2f80073150017214fae5a300add38285302e9be4d3248f395ce307e77f0af598"
"79";" ";"85/2015ALIMENTA√á√ÉO ESCOLAR";" ";" ";" ";"Monet√°rio";" ";" ";"1.185,30";"04acb3d09ea6b10a7626a44160f8d3d3ff8b7b298cce9ad141ec45b6c7e052ef"
"80";" ";"6215/2014ALIMENTA√á√ÉO ESCOLAR";" ";" ";" ";"Monet√°rio";" ";" ";"6.127,92";"9ba58424c1287c71e20804b3daf359a1e4e0d52affbc672624fc3c3c0b5e92d2"
